TIMESTAMP,TIMER,JOINTTYPE,xPOSITION,yPOSITION,zPOSITION
16:11:23:2352, 00:00:00.3301057, HipCenter,0.1011779,-0.09537166,2.044789
16:11:23:2417, 00:00:00.3362935, Spine,0.08418901,-0.03693807,2.109737
16:11:23:2437, 00:00:00.3372835, ShoulderCenter,0.1130295,0.3399159,2.162028
16:11:23:2447, 00:00:00.3384691, Head,0.200269,0.5158613,2.189018
16:11:23:2457, 00:00:00.3394660, ShoulderLeft,-0.03949105,0.233179,2.077666
16:11:23:2467, 00:00:00.3404745, ElbowLeft,-0.1865639,0.01696002,2.021686
16:11:23:2477, 00:00:00.3416680, WristLeft,-0.2312485,-0.1827354,1.834781
16:11:23:2497, 00:00:00.3435891, HandLeft,-0.2226068,-0.2504358,1.789411
16:11:23:2507, 00:00:00.3448680, ShoulderRight,0.2890014,0.1802608,2.190968
16:11:23:2527, 00:00:00.3469028, ElbowRight,0.3528542,-0.01575586,2.145417
16:11:23:2547, 00:00:00.3487439, WristRight,0.4491358,-0.1116187,1.974886
16:11:23:2557, 00:00:00.3499257, HandRight,0.4552426,-0.1270224,1.941472
16:11:23:2567, 00:00:00.3515459, HipLeft,0.02494908,-0.1615872,1.990995
16:11:23:2587, 00:00:00.3528459, KneeLeft,-0.04933094,-0.5301495,1.874216
16:11:23:2608, 00:00:00.3550382, AnkleLeft,-0.1040798,-0.8845267,1.770789
16:11:23:2618, 00:00:00.3562763, FootLeft,-0.07788977,-0.9128761,1.67114
16:11:23:2678, 00:00:00.3612743, HipRight,0.1731092,-0.1854646,2.051526
16:11:23:2688, 00:00:00.3624350, KneeRight,0.1723198,-0.5851772,2.023244
16:11:23:2698, 00:00:00.3636240, AnkleRight,0.1493796,-0.9403489,2.003558
16:11:23:2708, 00:00:00.3646382, FootRight,0.1810055,-0.9871218,1.91283
16:11:23:2728, 00:00:00.3667383, HipCenter,0.1077054,-0.1003566,2.062716
16:11:23:2738, 00:00:00.3677351, Spine,0.09272411,-0.04234236,2.127994
16:11:23:2748, 00:00:00.3687776, ShoulderCenter,0.1262385,0.3319533,2.18004
16:11:23:2758, 00:00:00.3698035, Head,0.2235041,0.5099487,2.213318
16:11:23:2768, 00:00:00.3708041, ShoulderLeft,-0.02921351,0.2294597,2.100154
16:11:23:2778, 00:00:00.3717733, ElbowLeft,-0.1773299,0.02027001,2.042231
16:11:23:2788, 00:00:00.3727611, WristLeft,-0.2168547,-0.1772954,1.849307
16:11:23:2798, 00:00:00.3737620, HandLeft,-0.2063838,-0.2456023,1.801342
16:11:23:2808, 00:00:00.3749280, ShoulderRight,0.2999813,0.1723936,2.204847
16:11:23:2818, 00:00:00.3760298, ElbowRight,0.3694331,-0.01912501,2.149076
16:11:23:2838, 00:00:00.3776628, WristRight,0.4666394,-0.140171,1.999844
16:11:23:2858, 00:00:00.3794182, HandRight,0.4619825,-0.1243453,1.974087
16:11:23:2868, 00:00:00.3807469, HipLeft,0.03027682,-0.163576,2.012333
16:11:23:2878, 00:00:00.3822841, KneeLeft,-0.04213558,-0.5374404,1.895398
16:11:23:2898, 00:00:00.3838786, AnkleLeft,-0.0869075,-0.8835187,1.781345
16:11:23:2908, 00:00:00.3856974, FootLeft,-0.06130479,-0.9086582,1.681416
16:11:23:2930, 00:00:00.3867943, HipRight,0.1788446,-0.1919296,2.066798
16:11:23:2941, 00:00:00.3878677, KneeRight,0.1788948,-0.56748,2.037212
16:11:23:2952, 00:00:00.3890420, AnkleRight,0.148136,-0.9438822,2.014909
16:11:23:3000, 00:00:00.3939211, FootRight,0.1760538,-0.990424,1.923652
16:11:23:3219, 00:00:00.4156471, HipCenter,0.1169156,-0.1086698,2.086121
16:11:23:3229, 00:00:00.4167406, Spine,0.1031178,-0.04959503,2.150975
16:11:23:3239, 00:00:00.4178911, ShoulderCenter,0.1373301,0.3264688,2.197994
16:11:23:3249, 00:00:00.4190458, Head,0.2267655,0.5085338,2.219476
16:11:23:3259, 00:00:00.4201419, ShoulderLeft,-0.01867101,0.2239765,2.118911
16:11:23:3269, 00:00:00.4213071, ElbowLeft,-0.1656513,0.01893043,2.067073
16:11:23:3289, 00:00:00.4229303, WristLeft,-0.1991072,-0.1693338,1.869016
16:11:23:3300, 00:00:00.4242394, HandLeft,-0.1890222,-0.2398067,1.814301
16:11:23:3319, 00:00:00.4255356, ShoulderRight,0.3096994,0.1685996,2.218679
16:11:23:3350, 00:00:00.4292552, ElbowRight,0.3776382,-0.02152449,2.159034
16:11:23:3380, 00:00:00.4318042, WristRight,0.4633527,-0.137994,2.000218
16:11:23:3390, 00:00:00.4332851, HandRight,0.4662856,-0.1263735,1.979111
16:11:23:3400, 00:00:00.4344326, HipLeft,0.03848223,-0.1705763,2.033305
16:11:23:3420, 00:00:00.4355982, KneeLeft,-0.03448353,-0.5381882,1.916615
16:11:23:3430, 00:00:00.4367411, AnkleLeft,-0.07769535,-0.8833236,1.788017
16:11:23:3440, 00:00:00.4378644, FootLeft,-0.05318725,-0.9059261,1.68792
16:11:23:3450, 00:00:00.4391909, HipRight,0.1878539,-0.202272,2.093921
16:11:23:3460, 00:00:00.4403772, KneeRight,0.1831091,-0.569196,2.046403
16:11:23:3470, 00:00:00.4414911, AnkleRight,0.1551712,-0.9497668,2.030142
16:11:23:3490, 00:00:00.4426125, FootRight,0.1821037,-0.9975556,1.940021
16:11:23:3506, 00:00:00.4444087, HipCenter,0.1198277,-0.1113232,2.10076
16:11:23:3520, 00:00:00.4456101, Spine,0.1080907,-0.05252752,2.166315
16:11:23:3530, 00:00:00.4466994, ShoulderCenter,0.1441326,0.3237484,2.214444
16:11:23:3540, 00:00:00.4478231, Head,0.2317896,0.5072732,2.229549
16:11:23:3560, 00:00:00.4496314, ShoulderLeft,-0.01321709,0.2205631,2.139176
16:11:23:3570, 00:00:00.4508570, ElbowLeft,-0.1555291,0.01663369,2.094881
16:11:23:3580, 00:00:00.4519924, WristLeft,-0.1856088,-0.1623365,1.889587
16:11:23:3590, 00:00:00.4532799, HandLeft,-0.1737279,-0.2304843,1.83241
16:11:23:3610, 00:00:00.4546758, ShoulderRight,0.3160337,0.1642928,2.228147
16:11:23:3620, 00:00:00.4559781, ElbowRight,0.3873103,-0.02340789,2.16994
16:11:23:3630, 00:00:00.4575043, WristRight,0.4671996,-0.1388442,2.008854
16:11:23:3650, 00:00:00.4588262, HandRight,0.4732053,-0.1339905,2.00182
16:11:23:3700, 00:00:00.4636241, HipLeft,0.04004056,-0.1733906,2.05302
16:11:23:3711, 00:00:00.4654754, KneeLeft,-0.03112382,-0.5384476,1.934099
16:11:23:3731, 00:00:00.4666965, AnkleLeft,-0.07248725,-0.8836415,1.806545
16:11:23:3741, 00:00:00.4679886, FootLeft,-0.05044462,-0.9057173,1.706466
16:11:23:3751, 00:00:00.4691818, HipRight,0.1907621,-0.2038577,2.104162
16:11:23:3761, 00:00:00.4704663, KneeRight,0.1881948,-0.5618082,2.061657
